tt_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Etiqueta
1.84,8.679215,-87.7077,-0.3580522,0,0,0,0,0,0,0,-9.703071,0.5187388,-2.314288,0,0,0,Ejercicio1
1.85,8.687265,-87.66276,-0.5145418,0,0,0,0,0,0,0,0.8362204,5.245512,-18.22681,0,0,0,Ejercicio1
1.86,8.689949,-87.64774,-0.5666928,0,0,0,0,0,0,0,0.2043388,1.154096,-4.002982,0,0,0,Ejercicio1
1.87,8.692632,-87.63269,-0.6188377,0,0,0,0,0,0,0,0.1775175,0.996428,-3.450751,0,0,0,Ejercicio1
1.88,8.695313,-87.61762,-0.6709764,0,0,0,0,0,0,0,0.09484922,0.533195,-1.843697,0,0,0,Ejercicio1
1.89,8.695313,-87.61762,-0.6709764,0,0,0,0,0,0,0,0.0004154051,0.002335198,-0.008074715,0,0,0,Ejercicio1
1.9,8.695313,-87.61762,-0.6709764,0,0,0,0,0,0,0,1.321815e-06,7.430577e-06,-2.569366e-05,0,0,0,Ejercicio1
1.91,8.695313,-87.61762,-0.6709764,0,0,0,0,0,0,0,2.220196e-09,1.248083e-08,-4.315655e-08,0,0,0,Ejercicio1
1.92,8.695313,-87.61762,-0.6709764,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,Ejercicio1
1.93,8.697995,-87.60253,-0.723109,0,0,0,0,0,0,0,0.5001271,2.815761,-9.721556,0,0,0,Ejercicio1
1.94,8.700677,-87.58743,-0.7752355,0,0,0,0,0,0,0,0.01081837,0.06100138,-0.2102892,0,0,0,Ejercicio1
1.95,8.703359,-87.5723,-0.8273558,0,0,0,0,0,0,0,0.09073099,0.5123837,-1.763644,0,0,0,Ejercicio1
1.96,8.703359,-87.5723,-0.8273558,0,0,0,0,0,0,0,0.003718485,0.02099934,-0.07228054,0,0,0,Ejercicio1
1.97,8.703359,-87.5723,-0.8273558,0,0,0,0,0,0,0,1.62856e-05,9.196941e-05,-0.0003165622,0,0,0,Ejercicio1
1.98,8.703359,-87.5723,-0.8273558,0,0,0,0,0,0,0,3.523191e-07,1.989646e-06,-6.848439e-06,0,0,0,Ejercicio1
1.99,8.703359,-87.5723,-0.8273558,0,0,0,0,0,0,0,1.543028e-09,8.71392e-09,-2.999365e-08,0,0,0,Ejercicio1
