tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.085,0.007638682,-0.08676205,-0.005151154,0,0,0,0,0,0,0,-0.0010257929999999,-5.034572e-07,-4.36178e-05,0,0,0,0.0008763817192277,Ejercicio 1
0.086,0.007569589,-0.08674519,-0.005205886,0,0,0,0,0,0,0,-8.745693000000001e-05,0.0001240483,-0.0003838333,0,0,0,0.0008825133940994,Ejercicio 1
0.087,0.007569589,-0.08674519,-0.005205886,0,0,0,0,0,0,0,-1.468977e-07,2.0835870000000002e-07,-6.447086e-07,0,0,0,0.0008874779365814,Ejercicio 1
0.088,0.007569589,-0.08674519,-0.005205886,0,0,0,0,0,0,0,-3.3960559999999997e-10,4.816941e-10,-1.49047e-09,0,0,0,0.0008874779365814,Ejercicio 1
0.089,0.007569589,-0.08674519,-0.005205886,0,0,0,0,0,0,0,1.485091e-13,1.113605e-12,-3.405024e-12,0,0,0,0.0008869603890247,Ejercicio 1
0.09,0.007569589,-0.08674519,-0.005205886,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0008869603890247,Ejercicio 1
0.091,0.007498222,-0.08674519,-0.005208984,0,0,0,0,0,0,0,-0.009716176,0.0,-0.0004197654,0,0,0,0.0008837265743313,Ejercicio 1
0.092,0.007284115,-0.08674519,-0.005218102,0,0,0,0,0,0,0,-0.01440321,0.0,-0.000604458,0,0,0,0.0008837265743313,Ejercicio 1
0.093,0.006998621,-0.08674519,-0.005229847,0,0,0,0,0,0,0,-0.01297213,0.0,-0.0005230274,0,0,0,0.0008837265743313,Ejercicio 1
0.094,0.006855867,-0.08674519,-0.005235545,0,0,0,0,0,0,0,-0.002718675,0.0,-0.0001073757,0,0,0,0.0008837265743313,Ejercicio 1
0.095,0.006713109,-0.08674519,-0.005241124,0,0,0,0,0,0,0,-0.00368644,0.0,-0.0001425619,0,0,0,0.0008837265743313,Ejercicio 1
0.096,0.006498962,-0.08674519,-0.005249273,0,0,0,0,0,0,0,-0.007844526,0.0,-0.0002936722,0,0,0,0.0008837265743313,Ejercicio 1
0.097,0.006213418,-0.08674519,-0.005259728,0,0,0,0,0,0,0,-0.01434287,0.0,-0.000513325,0,0,0,0.0008837265743313,Ejercicio 1
0.098,0.005927857,-0.08674519,-0.005269713,0,0,0,0,0,0,0,-0.01535699,0.0,-0.0005243301,0,0,0,0.0008837265743313,Ejercicio 1
0.099,0.005856464,-0.08674519,-0.005272136,0,0,0,0,0,0,0,-0.001039305,0.0,-3.505688e-05,0,0,0,0.000886140434355,Ejercicio 1
0.1,0.005785071,-0.08674519,-0.005274529,0,0,0,0,0,0,0,-7.3038e-05,0.0,-2.433585e-06,0,0,0,0.0008958251855665,Ejercicio 1
0.101,0.005786791,-0.0867283,-0.005326149,0,0,0,0,0,0,0,1.162885e-06,1.230156e-05,-3.757994e-05,0,0,0,0.0009035038362372,Ejercicio 1
0.102,0.005786791,-0.0867283,-0.005326149,0,0,0,0,0,0,0,1.953249e-09,2.066241e-08,-6.312144e-08,0,0,0,0.0009053424107833,Ejercicio 1
0.103,0.005786791,-0.0867283,-0.005326149,0,0,0,0,0,0,0,3.5323280000000002e-12,3.470577e-11,-1.06014e-10,0,0,0,0.0009053424107833,Ejercicio 1
0.104,0.005786791,-0.0867283,-0.005326149,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0009053424107833,Ejercicio 1
0.105,0.005643958,-0.0867283,-0.0053308489999999,0,0,0,0,0,0,0,-0.005055052,0.0,-0.0001642697,0,0,0,0.0009021085960899,Ejercicio 1
0.106,0.005501121,-0.0867283,-0.005335432,0,0,0,0,0,0,0,-0.009728403,0.0,-0.0003081267,0,0,0,0.0009014904045241,Ejercicio 1
0.107,0.0054297009999999,-0.0867283,-0.005337679,0,0,0,0,0,0,0,-0.002637974,0.0,-8.246648e-05,0,0,0,0.0009011578627038,Ejercicio 1
0.108,0.005358281,-0.0867283,-0.005339897,0,0,0,0,0,0,0,-0.0003861321,0.0,-1.191206e-05,0,0,0,0.0009044965461265,Ejercicio 1
0.109,0.005358281,-0.0867283,-0.005339897,0,0,0,0,0,0,0,-6.069172e-06,0.0,-1.872321e-07,0,0,0,0.0009049092249539,Ejercicio 1
0.11,0.005358071,-0.08667432,-0.005333091,0,0,0,0,0,0,0,-8.146643e-07,0.0002022993,2.554512e-05,0,0,0,0.0009032019637629,Ejercicio 1
0.111,0.005358071,-0.08667432,-0.005333091,0,0,0,0,0,0,0,-1.280478e-08,3.179714e-06,4.015148e-07,0,0,0,0.0009049092249539,Ejercicio 1
0.112,0.005286652,-0.08667432,-0.00533528,0,0,0,0,0,0,0,-0.009095222,1.392598e-08,-0.0002768396,0,0,0,0.0009011578627038,Ejercicio 1
0.113,0.005215232,-0.08667432,-0.005337439,0,0,0,0,0,0,0,-0.002668769,2.188866e-10,-8.013386999999999e-05,0,0,0,0.0009017081574637,Ejercicio 1
0.114,0.005072391,-0.08667432,-0.0053416689999999,0,0,0,0,0,0,0,-0.009256851,0.0,-0.0002703317,0,0,0,0.0009017081574637,Ejercicio 1
0.115,0.004929545,-0.08667432,-0.005345782,0,0,0,0,0,0,0,-0.001969931,0.0,-5.590732000000001e-05,0,0,0,0.0009089947271499,Ejercicio 1
0.116,0.004786696,-0.08667432,-0.005349777,0,0,0,0,0,0,0,-0.00920771,0.0,-0.0002537396,0,0,0,0.0009075937773986,Ejercicio 1
