tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.129,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,-1.786667e-10,0.0,-4.482461e-12,0,0,0,-0.0027846360365389,Ejercicio 1
0.13,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.131,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.132,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.133,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.134,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.135,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.136,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.137,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.138,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.139,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.14,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.141,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0027901467014718,Ejercicio 1
0.142,0.003716146,-0.09020068,0.02022791,0,0,0,0,0,0,0,1.738001e-05,8.456397000000001e-05,-0.0006927509,0,0,0,-0.0027986963427316,Ejercicio 1
0.143,0.003716146,-0.09020068,0.02022791,0,0,0,0,0,0,0,5.5303e-08,2.690816e-07,-2.204326e-06,0,0,0,-0.0028036154526333,Ejercicio 1
0.144,0.003717498,-0.09019408,0.02017399,0,0,0,0,0,0,0,1.007753e-06,4.919931e-06,-4.01681e-05,0,0,0,-0.0028012697415006,Ejercicio 1
0.145,0.003717498,-0.09019408,0.02017399,0,0,0,0,0,0,0,1.69268e-09,8.263800000000001e-09,-6.746867e-08,0,0,0,-0.0028058600531611,Ejercicio 1
0.146,0.003717498,-0.09019408,0.02017399,0,0,0,0,0,0,0,3.913224e-12,1.910467e-11,-1.5597750000000002e-10,0,0,0,-0.0028058600531611,Ejercicio 1
0.147,0.003718851,-0.09018747,0.02012007,0,0,0,0,0,0,0,0.0001211798,0.000593608,-0.004830115,0,0,0,-0.0028012697415006,Ejercicio 1
0.148,0.003718851,-0.09018747,0.02012007,0,0,0,0,0,0,0,1.904688e-06,9.330249e-06,-7.591910000000001e-05,0,0,0,-0.0028012697415006,Ejercicio 1
0.149,0.003720203,-0.09018083,0.02006616,0,0,0,0,0,0,0,1.774282e-05,8.720708000000001e-05,-0.0007072122,0,0,0,-0.0027976404944068,Ejercicio 1
0.15,0.003782552,-0.09017417,0.02001379,0,0,0,0,0,0,0,0.002102521,7.006539e-06,-3.052242e-06,0,0,0,-0.0027999119241031,Ejercicio 1
0.151,0.003783927,-0.0901675,0.01995988,0,0,0,0,0,0,0,5.862812e-05,6.405354e-05,-0.0005148185,0,0,0,-0.0027935691562876,Ejercicio 1
0.152,0.003785301,-0.09016079,0.01990597,0,0,0,0,0,0,0,0.0001835447,0.0008960101,-0.007193747,0,0,0,-0.0027827780372512,Ejercicio 1
0.153,0.0038519269999999,-0.09013376,0.01969195,0,0,0,0,0,0,0,0.008310408,0.002860815,-0.0224667299999999,0,0,0,-0.0027067729674526,Ejercicio 1
0.154,0.003977063,-0.09012011,0.01958739,0,0,0,0,0,0,0,0.01700279,0.002308219,-0.01772731,0,0,0,-0.0027032781448832,Ejercicio 1
0.155,0.004229387,-0.09008561,0.01932475,0,0,0,0,0,0,0,0.01211816,0.002383761,-0.01813256,0,0,0,-0.0026889350821172,Ejercicio 1
0.156,0.004607254,-0.09009734,0.01900483,0,0,0,0,0,0,0,0.02026045,0.003256914,-0.02444203,0,0,0,-0.002579177870159,Ejercicio 1
0.157,0.004854639,-0.09009025,0.01895877,0,0,0,0,0,0,0,0.01837681,0.000106117,-0.0002080421,0,0,0,-0.002579177870159,Ejercicio 1
0.158,0.00491784,-0.09008312,0.01890693,0,0,0,0,0,0,0,0.001760578,5.061689e-05,-0.0003246285,0,0,0,-0.0025602303941891,Ejercicio 1
0.159,0.00491784,-0.09008312,0.01890693,0,0,0,0,0,0,0,7.710683e-06,2.216834e-07,-1.421754e-06,0,0,0,-0.0025582240941009,Ejercicio 1
0.16,0.00491784,-0.09008312,0.01890693,0,0,0,0,0,0,0,1.782595e-08,5.125092e-10,-3.28688e-09,0,0,0,-0.0025582240941009,Ejercicio 1
0.161,0.00491784,-0.09008312,0.01890693,0,0,0,0,0,0,0,2.994149e-11,8.6084e-13,-5.520834000000001e-12,0,0,0,-0.0025582240941009,Ejercicio 1
0.162,0.00491784,-0.09008312,0.01890693,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0025582240941009,Ejercicio 1
0.163,0.00491784,-0.09008312,0.01890693,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0025582240941009,Ejercicio 1
